Station Name,Station Latitude,Station Longitude,Bubble Tea Shop Name,Rating,Business Latitude,Business Longitude
12th & Yukon (City Hall),49.26086,-123.11629,OneZo Tapioca,4.5,49.2630371,-123.1180803
12th & Yukon (City Hall),49.2630371,-123.1180803,OneZo Tapioca,4.5,49.2630371,-123.1180803
12th & Yukon (City Hall),49.2630371,-123.1180803,Bubble Waffle Cafe,4.0,49.26086,-123.11629
12th & Yukon (City Hall),49.2630371,-123.1180803,Sharetea,4.0,49.2599346,-123.1148551
8th & Ash,49.2630371,-123.1180803,OneZo Tapioca,4.5,49.2630371,-123.1180803
8th & Ash,49.2630371,-123.1180803,Bubble Waffle Cafe,4.0,49.26086,-123.11629
8th & Ash,49.2630371,-123.1180803,Sharetea,4.0,49.2599346,-123.1148551
8th & Ash,49.2599346,-123.1148551,Sharetea,4.0,49.2599346,-123.1148551
8th & Ash,49.2599346,-123.1148551,Bubble Waffle Cafe,4.0,49.26086,-123.11629
8th & Ash,49.2599346,-123.1148551,Hot Cha Cafe,4.5,49.2556974,-123.1149056
8th & Ash,49.2599346,-123.1148551,OneZo Tapioca,4.5,49.2630371,-123.1180803
8th & Ash,49.2599346,-123.1148551,Ben Gong’s Tea,3.5,49.25561,-123.1149094
8th & Ash,49.26086,-123.11629,Bubble Waffle Cafe,4.0,49.26086,-123.11629
8th & Ash,49.26086,-123.11629,Sharetea,4.0,49.2599346,-123.1148551
8th & Ash,49.26086,-123.11629,OneZo Tapioca,4.5,49.2630371,-123.1180803
Ontario & Seawall,49.2702465479379,-123.106393312242,The Bubble Tea Shop,3.0,49.2702465479379,-123.106393312242
Canada Place,49.2844898190478,-123.11441326495552,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Canada Place,49.2844898190478,-123.11441326495552,Sharetea,4.0,49.2834699,-123.1144227
Canada Place,49.2844898190478,-123.11441326495552,Gong Cha,4.0,49.2838435,-123.11335923808556
Canada Place,49.2844898190478,-123.11441326495552,Boba Run,4.5,49.2819027,-123.1074516
Canada Place,49.2844898190478,-123.11441326495552,Xing Fu Tang,3.5,49.2833513,-123.1163056
Canada Place,49.287679,-123.115126,Chatime,1.0,49.287679,-123.115126
Canada Place,49.287679,-123.115126,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Canada Place,49.287679,-123.115126,Deer Alley Restaurant,4.5,49.28537,-123.11709
