Station Name,Bubble Tea Shop Name,Rating,Latitude,Longitude
Expo & Smithe,Ikoi Cha,N/A,N/A,N/A
7th & Granville,Chatime,N/A,N/A,N/A
10th & Granville,Chatime,N/A,N/A,N/A
10th & Granville,Momono Tea Shop,N/A,N/A,N/A
14th & Granville,Momono Tea Shop,N/A,N/A,N/A
14th & Cambie,Xing Fu Tang,N/A,N/A,N/A
14th & Cambie,Hot Cha Cafe,N/A,N/A,N/A
14th & Cambie,Ben Gong’s Tea,N/A,N/A,N/A
14th & Cambie,TTOB Bubble Tea,N/A,N/A,N/A
Ontario & 5th,The Bubble Tea Shop,N/A,N/A,N/A
Cypress & 4th,Sharetea,N/A,N/A,N/A
Cypress & 4th,Nuttea,N/A,N/A,N/A
Nelson & Mainland,Gong Cha,N/A,N/A,N/A
Nelson & Mainland,ShareTea Yaletown,N/A,N/A,N/A
Nelson & Mainland,Jenjudan - Yaletown,N/A,N/A,N/A
Nelson & Mainland,Ikoi Cha,N/A,N/A,N/A
Nelson & Mainland,Little Bee Bubble Tea,N/A,N/A,N/A
Nelson & Richards,The Alley,N/A,N/A,N/A
Nelson & Richards,Gong Cha,N/A,N/A,N/A
Nelson & Richards,ShareTea Yaletown,N/A,N/A,N/A
Nelson & Richards,Passion Tearoom,N/A,N/A,N/A
Nelson & Richards,Ikoi Cha,N/A,N/A,N/A
7th & Heather,OneZo Tapioca,N/A,N/A,N/A
Harwood & Bute,Yet’s Cafe,N/A,N/A,N/A
Chilco & Barclay,TTOB Holdings Ltd,N/A,N/A,N/A
Chilco & Barclay,Weather Tea,N/A,N/A,N/A
Chilco & Robson,Weather Tea,N/A,N/A,N/A
Nicola & Robson,The Bubble Tea Shop,N/A,N/A,N/A
Nicola & Robson,Chatime,N/A,N/A,N/A
Nicola & Robson,Kumme Cafe,N/A,N/A,N/A
Nicola & Robson,45 Degree Bubble Tea House,N/A,N/A,N/A
Nicola & Robson,Truedan,N/A,N/A,N/A
Carrall & Hastings,Boba Run,N/A,N/A,N/A
Carrall & Hastings,Bubble King Tea House,N/A,N/A,N/A
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,Coco Fresh Tea & Juice,N/A,N/A,N/A
