Station Name,Station Latitude,Station Longitude,Available Bikes,Empty Slots,Bubble Tea Shop Name,Rating,Business Latitude,Business Longitude
Granville & Georgia,49.282409,-123.118541,2,17,Gong Cha,3,49.2813094,-123.1201513
Pender & Burrard,49.287097,-123.118551,7,19,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Pender & Burrard,49.287097,-123.118551,7,19,Sharetea,4,49.2834699,-123.1144227
Pender & Burrard,49.287097,-123.118551,7,19,Gong Cha,4,49.2838435,-123.1133592
Pender & Burrard,49.287097,-123.118551,7,19,Boba Run,4.5,49.2819027,-123.1074516
Pender & Burrard,49.287097,-123.118551,7,19,Xing Fu Tang,3.5,49.2833513,-123.1163056
Pender & Burrard,49.287097,-123.118551,7,19,Deer Alley Restaurant,4.5,49.28537,-123.11709
Pender & Burrard,49.287097,-123.118551,7,19,Bubble Waffle Cafe,4.5,49.28531748,-123.1171067
Pender & Burrard,49.287097,-123.118551,7,19,Presotea,3,49.28466148,-123.1162235
Pender & Burrard,49.287097,-123.118551,7,19,Chatime,1,49.287679,-123.115126
Marinaside & Davie,49.273471,-123.118016,17,5,Cha Yuan,4.5,49.27402,-123.12243
Marinaside & Davie,49.273471,-123.118016,17,5,Sharetea Yaletown,5,49.27609728,-123.1192943
Marinaside & Davie,49.273471,-123.118016,17,5,Kurotaki Bubble Tea House,3,49.27464608,-123.1258495
Marinaside & Davie,49.273471,-123.118016,17,5,Teaspoons & Company,4.5,49.279506,-123.1243488
Marinaside & Davie,49.273471,-123.118016,17,5,Jenjudan Yaletown,4,49.27833,-123.11621
Marinaside & Davie,49.273471,-123.118016,17,5,Gong Cha,3,49.2792027,-123.1167521
Robson & Hornby,49.282758,-123.122092,2,26,Teaspoons & Company,4.5,49.279506,-123.1243488
Robson & Hornby,49.282758,-123.122092,2,26,The Alley,3.5,49.2808317,-123.1247428
Robson & Hornby,49.282758,-123.122092,2,26,Tea Drop Café,5,49.279501,-123.124057
Robson & Hornby,49.282758,-123.122092,2,26,Atelier by Chatime,3.5,49.28030775,-123.1184253
Robson & Hornby,49.282758,-123.122092,2,26,Yet’s Cafe,3.5,49.27771297,-123.1310082
Robson & Hornby,49.282758,-123.122092,2,26,Jenjudan,4.5,49.286041,-123.1273567
Robson & Hornby,49.282758,-123.122092,2,26,Machi Machi,4,49.28580788,-123.1267723
Robson & Hornby,49.282758,-123.122092,2,26,Bubble World,4,49.2874205,-123.128873
Robson & Hornby,49.282758,-123.122092,2,26,Blackball,4,49.28561,-123.12697
Robson & Hornby,49.282758,-123.122092,2,26,Happy Lemon,3.5,49.2856474,-123.1266978
Robson & Hornby,49.282758,-123.122092,2,26,Gong Cha,3,49.2813094,-123.1201513
Robson & Hornby,49.282758,-123.122092,2,26,Feng Cha,3.5,49.28561,-123.12697
Robson & Hornby,49.282758,-123.122092,2,26,Xing Fu Tang,3.5,49.2833513,-123.1163056
Robson & Hornby,49.282758,-123.122092,2,26,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Robson & Hornby,49.282758,-123.122092,2,26,Sharetea,4,49.2834699,-123.1144227
Robson & Hornby,49.282758,-123.122092,2,26,Deer Alley Restaurant,4.5,49.28537,-123.11709
Robson & Hornby,49.282758,-123.122092,2,26,Presotea,3,49.28466148,-123.1162235
Hornby & Pender,49.28602,-123.116624,0,22,Deer Alley Restaurant,4.5,49.28537,-123.11709
Hornby & Pender,49.28602,-123.116624,0,22,Bubble Waffle Cafe,4.5,49.28531748,-123.1171067
Hornby & Pender,49.28602,-123.116624,0,22,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Hornby & Pender,49.28602,-123.116624,0,22,Xing Fu Tang,3.5,49.2833513,-123.1163056
Hornby & Pender,49.28602,-123.116624,0,22,Presotea,3,49.28466148,-123.1162235
Hornby & Pender,49.28602,-123.116624,0,22,Sharetea,4,49.2834699,-123.1144227
Hornby & Pender,49.28602,-123.116624,0,22,Gong Cha,4,49.2838435,-123.1133592
Hornby & Pender,49.28602,-123.116624,0,22,Boba Run,4.5,49.2819027,-123.1074516
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17,Gong Cha,3,49.2792027,-123.1167521
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17,Jenjudan Yaletown,4,49.27833,-123.11621
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17,Gong cha,5,49.27905,-123.11695
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17,Ikoi cha,2.5,49.27905,-123.11695
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17,Little Bee Bubble Tea,4.5,49.27960478,-123.1154158
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17,Cha Yuan,4.5,49.27402,-123.12243
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17,Charisma Cafe & Dessert House,4,49.28018,-123.10866
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17,Ben Gong’s Tea,2.5,49.27959442,-123.1155471
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17,Atelier by Chatime,3.5,49.28030775,-123.1184253
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17,Teaspoons & Company,4.5,49.279506,-123.1243488
Homer & Robson (Vancouver Public Library),49.279739,-123.116251,3,17,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Beatty & Robson,49.277483,-123.114279,9,10,Jenjudan Yaletown,4,49.27833,-123.11621
Beatty & Robson,49.277483,-123.114279,9,10,Gong Cha,3,49.2792027,-123.1167521
Beatty & Robson,49.277483,-123.114279,9,10,Little Bee Bubble Tea,4.5,49.27960478,-123.1154158
Beatty & Robson,49.277483,-123.114279,9,10,Gong cha,5,49.27905,-123.11695
Beatty & Robson,49.277483,-123.114279,9,10,Cha Yuan,4.5,49.27402,-123.12243
Beatty & Robson,49.277483,-123.114279,9,10,Boba Run,4.5,49.2819027,-123.1074516
Beatty & Robson,49.277483,-123.114279,9,10,Charisma Cafe & Dessert House,4,49.28018,-123.10866
Beatty & Robson,49.277483,-123.114279,9,10,Bubble King,3.5,49.28038956,-123.106067
Beatty & Robson,49.277483,-123.114279,9,10,Gong Cha,4,49.2838435,-123.1133592
Beatty & Robson,49.277483,-123.114279,9,10,Sharetea,4,49.2834699,-123.1144227
Beatty & Robson,49.277483,-123.114279,9,10,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Beatty & Robson,49.277483,-123.114279,9,10,Ikoi cha,2.5,49.27905,-123.11695
Beatty & Robson,49.277483,-123.114279,9,10,Ben Gong’s Tea,2.5,49.27959442,-123.1155471
Beatty & Nelson,49.275679,-123.116963,7,7,Cha Yuan,4.5,49.27402,-123.12243
Beatty & Nelson,49.275679,-123.116963,7,7,Sharetea Yaletown,5,49.27609728,-123.1192943
Beatty & Nelson,49.275679,-123.116963,7,7,Kurotaki Bubble Tea House,3,49.27464608,-123.1258495
Beatty & Nelson,49.275679,-123.116963,7,7,Jenjudan Yaletown,4,49.27833,-123.11621
Beatty & Nelson,49.275679,-123.116963,7,7,Gong Cha,3,49.2792027,-123.1167521
Beatty & Nelson,49.275679,-123.116963,7,7,Little Bee Bubble Tea,4.5,49.27960478,-123.1154158
Beatty & Nelson,49.275679,-123.116963,7,7,Gong cha,5,49.27905,-123.11695
Beatty & Nelson,49.275679,-123.116963,7,7,Ikoi cha,2.5,49.27905,-123.11695
Beatty & Nelson,49.275679,-123.116963,7,7,Teaspoons & Company,4.5,49.279506,-123.1243488
Beatty & Nelson,49.275679,-123.116963,7,7,Charisma Cafe & Dessert House,4,49.28018,-123.10866
Beatty & Nelson,49.275679,-123.116963,7,7,Ben Gong’s Tea,2.5,49.27959442,-123.1155471
Abbott & Cordova,49.282759,-123.106955,7,15,Boba Run,4.5,49.2819027,-123.1074516
Abbott & Cordova,49.282759,-123.106955,7,15,Charisma Cafe & Dessert House,4,49.28018,-123.10866
Abbott & Cordova,49.282759,-123.106955,7,15,Bubble King,3.5,49.28038956,-123.106067
Abbott & Cordova,49.282759,-123.106955,7,15,Gong Cha,4,49.2838435,-123.1133592
Abbott & Cordova,49.282759,-123.106955,7,15,Sharetea,4,49.2834699,-123.1144227
Abbott & Cordova,49.282759,-123.106955,7,15,CoCo Fresh Tea & Juice,4,49.28448982,-123.1144133
Abbott & Cordova,49.282759,-123.106955,7,15,Tiger Sugar,3,49.28398,-123.11347
Abbott & Cordova,49.282759,-123.106955,7,15,My Toan,2.5,49.2845498,-123.1123772
